ticker,market,sector,name,market_cap,rank,as_of
012510,KOSPI,응용 소프트웨어 개발 및 공급업,더존비즈온,2690200000000.0,149,2025-12-31
081660,KOSPI,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",미스토홀딩스,2647900000000.0,150,2025-12-31
226950,KOSDAQ,siRNA 신약 개발,올릭스,2647400000000.0,151,2025-12-31
004370,KOSPI,"라면,스낵,유지 제조,도매,수출입",농심,2633200000000.0,152,2025-12-31
009970,KOSPI,"스포츠의류(등산복,운동복,스키복) 도소매,수출,섬유봉제",영원무역홀딩스,2617600000000.0,153,2025-12-31
103590,KOSPI,절연선 및 케이블 제조업,일진전기,2614100000000.0,154,2025-12-31
030000,KOSPI,"광고 대행/광고물,영화 제작,인쇄,출판",제일기획,2611200000000.0,155,2025-12-31
014680,KOSPI,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",한솔케미칼,2602200000000.0,156,2025-12-31
000240,KOSPI,비금융지주회사,한국앤컴퍼니,2561000000000.0,157,2025-12-31
008930,KOSPI,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",한미사이언스,2544300000000.0,158,2025-12-31
204320,KOSPI,"제동장치, 조향장치, 현가장치",HL만도,2543300000000.0,159,2025-12-31
030530,KOSDAQ,가스캐비닛,원익홀딩스,2540000000000.0,160,2025-12-31
257720,KOSDAQ,화장품 유통,실리콘투,2518700000000.0,161,2025-12-31
140410,KOSDAQ,"발기부전증치료제, 전립선비대증치료제",메지온,2501600000000.0,162,2025-12-31
009420,KOSPI,"의약품 제조,도매/부동산 임대",한올바이오파마,2442100000000.0,163,2025-12-31
004170,KOSPI,"백화점,할인점(E마트)",신세계,2412500000000.0,164,2025-12-31
263750,KOSDAQ,Technology,펄어비스,2402869777000.0,165,2025-12-31
139130,KOSPI,지주회사,iM금융지주,2387100000000.0,166,2025-12-31
051600,KOSPI,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",한전KPS,2384500000000.0,167,2025-12-31
353200,KOSPI,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",대덕전자,2347400000000.0,168,2025-12-31
001720,KOSPI,증권업,신영증권,2338300000000.0,169,2025-12-31
361610,KOSPI,2차전지용 습식 분리막 및 폴더블 커버 윈도우,SK아이이테크놀로지,2326300000000.0,170,2025-12-31
139480,KOSPI,대형마트,이마트,2319500000000.0,171,2025-12-31
003690,KOSPI,금융보험/부동산 임대,코리안리,2244600000000.0,172,2025-12-31
462870,KOSPI,게임 소프트웨어,시프트업,2206100000000.0,173,2025-12-31
018670,KOSPI,"액화석유가스,가스기기 판매,수입,저장",SK가스,2187200000000.0,174,2025-12-31
002790,KOSPI,지주회사,아모레퍼시픽홀딩스,2184300000000.0,175,2025-12-31
000120,KOSPI,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",CJ대한통운,2181600000000.0,176,2025-12-31
