ticker,corp_code,market,name,first_month,last_month,months_in_universe
013990,00138446,KOSDAQ,,2021-06,2021-11,6
014100,00267854,KOSDAQ,,2020-01,2020-04,4
014130,00129509,KOSPI,,2019-05,2019-08,4
014160,00111458,KOSPI,,2019-01,2025-08,41
014190,00128175,KOSDAQ,,2021-04,2022-01,10
014200,00103635,KOSDAQ,,2022-04,2023-02,11
014280,00105299,KOSPI,,2025-10,2026-02,5
014470,00243067,KOSDAQ,,2019-07,2019-11,5
014530,00105156,KOSPI,,2020-01,2024-01,10
014570,00103015,KOSDAQ,,2020-01,2020-11,11
014580,00122481,KOSPI,,2019-06,2023-12,24
014830,00159786,KOSPI,,2021-09,2023-08,24
014910,00132628,KOSPI,,2019-01,2019-04,4
014915,,KOSPI,,2019-01,2019-04,4
014940,00141608,KOSDAQ,,2025-09,2026-02,6
014950,00127875,KOSDAQ,,2025-10,2026-03,6
014970,00125488,KOSDAQ,,2019-08,2020-12,17
014990,00106881,KOSPI,,2019-01,2023-03,17
015020,00134565,KOSPI,,2021-07,2022-05,11
015710,00187725,KOSDAQ,,2023-01,2023-03,3
015750,00132992,KOSDAQ,,2022-10,2026-06,45
015860,00146649,KOSPI,,2022-05,2022-11,7
015890,00153339,KOSPI,,2023-06,2023-11,6
0164H0,01987779,KOSDAQ,,2026-06,2026-06,1
016600,00267942,KOSDAQ,,2022-05,2022-08,4
016670,00125725,KOSDAQ,,2019-01,2020-07,19
016710,00108940,KOSPI,,2023-04,2023-07,4
016790,00164618,KOSDAQ,,2019-01,2024-04,31
016880,00143651,KOSPI,,2021-05,2022-03,11
016920,00152260,KOSDAQ,,2021-06,2022-04,11
017040,00103662,KOSPI,,2021-07,2022-09,10
017180,00121039,KOSPI,,2020-05,2021-03,11
017250,00145914,KOSDAQ,,2019-01,2019-04,4
017510,00133751,KOSDAQ,,2024-07,2026-06,24
017550,00135111,KOSPI,,2019-01,2023-03,24
017860,00108612,KOSPI,,2023-12,2025-11,24
017890,00158565,KOSDAQ,,2020-02,2021-01,12
017900,00152729,KOSPI,,2026-04,2026-06,3
018000,00144243,KOSDAQ,,2020-08,2021-08,13
018250,00139454,KOSPI,,2019-01,2020-06,18
018290,00150165,KOSDAQ,,2024-05,2026-06,26
018470,00149239,KOSPI,,2021-09,2026-06,31
018620,00103547,KOSDAQ,,2019-06,2020-04,11
019175,,KOSPI,,2020-07,2022-05,10
019540,00146560,KOSDAQ,,2019-08,2019-12,5
019550,00156910,KOSDAQ,,2021-03,2022-01,11
019770,00153278,KOSDAQ,,2019-01,2021-06,6
019990,00169215,KOSDAQ,,2022-04,2023-04,13
020120,00140131,KOSPI,,2023-01,2023-03,3
020180,00110875,KOSDAQ,,2019-01,2019-04,4
020710,00170026,KOSDAQ,,2025-05,2025-07,3
021050,00131197,KOSPI,,2019-12,2023-12,16
021080,00161462,KOSDAQ,,2021-04,2022-04,13
021880,00136101,KOSDAQ,,2022-05,2022-08,4
023350,00159500,KOSPI,,2019-01,2019-03,3
023410,00184667,KOSDAQ,,2019-01,2020-05,17
023770,00138367,KOSDAQ,,2019-09,2020-01,5
023800,00103510,KOSPI,,2019-01,2019-04,4
023900,00155452,KOSDAQ,,2019-01,2021-01,25
024060,00167004,KOSDAQ,,2019-05,2026-06,60
024720,00203290,KOSPI,,2025-07,2025-11,5
024740,00162832,KOSDAQ,,2021-06,2022-12,16
024810,00145738,KOSDAQ,,2021-03,2023-07,12
024840,00158024,KOSDAQ,,2024-05,2026-06,13
024880,00157636,KOSDAQ,,2022-04,2023-05,14
024890,00112022,KOSPI,,2021-10,2022-03,6
024900,00114154,KOSPI,,2023-04,2023-10,7
024940,00133557,KOSDAQ,,2021-06,2025-06,9
025320,00203023,KOSDAQ,,2019-01,2026-06,68
025550,00158015,KOSDAQ,,2021-06,2025-11,19
025620,00136776,KOSPI,,2019-01,2020-03,15
025750,00203582,KOSPI,,2019-01,2021-12,17
025770,00159342,KOSDAQ,,2022-09,2023-04,8
025820,00145464,KOSPI,,2022-03,2024-11,19
025860,00107987,KOSPI,,2022-04,2026-06,13
025880,00101752,KOSDAQ,,2022-05,2022-11,7
025950,00116408,KOSDAQ,,2021-03,2025-07,30
025980,00161781,KOSDAQ,,2019-01,2026-06,90
026150,00186939,KOSDAQ,,2019-01,2023-01,25
026890,00117498,KOSPI,,2019-01,2022-09,45
027050,00152589,KOSDAQ,,2020-01,2021-01,13
027360,00156895,KOSDAQ,,2019-01,2026-06,29
027580,00129615,KOSDAQ,,2019-05,2024-07,20
027710,00192499,KOSDAQ,,2021-03,2023-11,29
027740,00204208,KOSPI,,2019-04,2020-08,17
027830,00109037,KOSDAQ,,2021-04,2023-02,9
028040,00111865,KOSDAQ,,2019-01,2019-06,6
028100,00178754,KOSPI,,2019-01,2020-06,18
029960,00197476,KOSDAQ,,2019-01,2020-11,23
030520,00204262,KOSDAQ,,2021-12,2026-06,43
030530,00216647,KOSDAQ,,2025-03,2026-06,16
030720,00118044,KOSPI,,2019-10,2019-12,3
030790,00273615,KOSPI,,2019-01,2020-03,15
030960,00139685,KOSDAQ,,2022-09,2023-12,16
031210,00112998,KOSPI,,2025-03,2026-06,16
031390,00198378,KOSDAQ,,2019-01,2021-04,28
031820,00186559,KOSPI,,2019-01,2020-05,17
031980,00208444,KOSDAQ,,2024-07,2026-06,24
032080,00201131,KOSDAQ,,2021-07,2021-12,6
032190,00238782,KOSDAQ,,2023-01,2024-04,16
032300,00187770,KOSDAQ,,2020-09,2022-05,21
